portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
109819.67078018188,32256.91699695587,0.2937262219764091,0.0778,0.0725,0.0724,0.0725,0.0725,0.0726,0.0749,0.1187,0.0724,0.0,0.0,671,297,201,164,272,155,239,515,255,0,0
110767.05091953278,34371.797320365906,0.31030705462525543,0.0567,0.1255,0.0858,0.0566,0.1383,0.0564,0.0567,0.0568,0.0568,0.0,0.0,485,514,238,127,517,120,179,247,200,0,0
110787.5996465683,15162.49802684784,0.13686096706868678,0.0637,0.0636,0.0635,0.173,0.096,0.0633,0.1421,0.0637,0.1344,0.0,0.0,544,260,176,389,359,135,450,277,471,0,0
109850.02014064789,14757.014905929565,0.13433784433571547,0.0665,0.0664,0.0664,0.0662,0.0664,0.1806,0.1047,0.0677,0.1807,0.0,0.0,573,272,183,149,247,388,332,294,637,0,0
109158.906291008,11264.362113952637,0.10319233213937526,0.051,0.051,0.0509,0.1383,0.0509,0.1387,0.1387,0.1386,0.1386,0.0,0.0,441,209,141,313,189,298,440,604,488,0,0
110757.48776054382,15172.59931755066,0.13698937764238217,0.0677,0.0677,0.0676,0.0674,0.0676,0.1838,0.0675,0.0899,0.1839,0.0,0.0,583,278,187,152,252,394,214,391,645,0,0
110167.9801826477,34044.40530204773,0.3090226874052283,0.164,0.0617,0.0617,0.0716,0.0737,0.0618,0.073,0.0618,0.0618,0.0,0.0,1424,254,170,161,274,133,232,267,217,0,0
110777.3237915039,15553.614359855652,0.14040431586097352,0.1601,0.0736,0.0586,0.1601,0.0645,0.0586,0.16,0.0653,0.0588,0.0,0.0,1385,302,162,360,239,125,507,283,206,0,0
111543.16283988953,14874.302399635315,0.1333501939602168,0.066,0.0659,0.0659,0.066,0.0659,0.1792,0.0954,0.0829,0.1794,0.0,0.0,571,270,182,148,245,383,301,359,630,0,0
110300.82900810242,26048.06817150116,0.23615478148027097,0.1237,0.1149,0.0714,0.0954,0.0672,0.0455,0.0767,0.1236,0.0454,0.0,0.0,1073,471,198,214,252,97,243,542,159,0,0
