date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2018-05-07,98208.16046142578,15239.0751953125,0.15517117033566785,0.152,0.0554,0.0553,0.0555,0.1518,0.0555,0.0556,0.0559,0.0558,0.1519,0.0,626,86,76,56,367,102,85,135,110,608,0,7854.8762855529785,9665.304931640625
2018-05-08,98027.70011520386,5798.54651260376,0.05915212236734318,0.1538,0.0563,0.0659,0.1314,0.1539,0.0566,0.0561,0.0567,0.1537,0.0564,0.0,628,87,91,133,373,103,85,140,303,227,0,18725.088417053223,9284.559734344482
2018-05-09,98815.50712585449,6454.803840637207,0.06532177011869371,0.1467,0.0539,0.0701,0.0531,0.1226,0.054,0.1462,0.1467,0.0536,0.0877,0.0,595,83,97,54,299,97,221,368,105,353,0,21397.24168395996,22053.49901199341
2018-05-10,99647.1352596283,14802.386335372925,0.14854803699881236,0.145,0.0529,0.098,0.0529,0.1452,0.0534,0.0528,0.0533,0.053,0.145,0.0,588,81,135,54,355,96,80,133,104,583,0,10731.092262268066,19078.674757003784
2018-05-11,99742.20749855042,6942.48899269104,0.06960432465655964,0.1251,0.0554,0.1251,0.0451,0.125,0.0456,0.125,0.0457,0.1135,0.1249,0.0,508,85,170,46,306,82,189,114,223,505,0,16063.54723739624,8203.649894714355
2018-05-14,99768.62626838684,14068.062383651733,0.1410068767089901,0.1387,0.0508,0.0504,0.051,0.1384,0.0509,0.0508,0.1386,0.0506,0.1387,0.0,564,78,68,52,339,91,77,347,99,565,0,14564.72709274292,21690.300483703613
2018-05-15,99167.75799369812,6325.010259628296,0.06378091415589163,0.1578,0.0863,0.0728,0.0648,0.1575,0.058,0.0576,0.0578,0.0912,0.1323,0.0,639,133,99,66,385,103,87,145,178,545,0,16208.318908691406,8465.266784667969
2018-05-16,99507.7472190857,14107.115646362305,0.14176901839916786,0.1386,0.0507,0.1386,0.0503,0.1384,0.0507,0.051,0.0508,0.0507,0.1385,0.0,562,78,188,51,337,90,77,129,98,574,0,7224.8828048706055,15006.988191604614
2018-05-17,99482.6630859375,14431.534267425537,0.14506582171969948,0.1427,0.0691,0.0752,0.0521,0.1426,0.0521,0.0525,0.0735,0.0523,0.1427,0.0,580,107,102,53,346,91,79,188,101,594,0,5986.197498321533,6310.616119384766
2018-05-18,99270.52835083008,13058.911136627197,0.13154872199809342,0.1287,0.0471,0.1282,0.0472,0.1285,0.0472,0.1186,0.047,0.0473,0.1286,0.0,526,73,173,48,313,83,177,120,91,534,0,11741.699531555176,10369.076400756836
