date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2014-03-18,101544.95771121979,22876.227821350098,0.2252817701338457,0.0652,0.0652,0.0653,0.0649,0.0652,0.1078,0.0688,0.0945,0.1777,0.0,0.0,457,210,134,113,209,194,165,340,478,0,0,23358.56436252594,17965.720472335815
2014-03-19,100934.44134616852,10216.905006408691,0.10122317882920076,0.1354,0.1354,0.0494,0.0729,0.0498,0.1353,0.1354,0.0498,0.1353,0.0,0.0,943,435,101,127,160,244,326,181,365,0,0,24472.507009506226,11813.18419456482
2014-03-20,101579.20227718353,30450.183853149414,0.2997678970746265,0.0546,0.0545,0.0845,0.0543,0.1488,0.0542,0.0546,0.1401,0.0545,0.0,0.0,377,175,174,95,479,98,132,511,146,0,0,22854.27612876892,43087.55497550964
2014-03-21,101452.80380058289,13097.59129524231,0.1291003383305909,0.0634,0.1273,0.0635,0.0967,0.0634,0.085,0.1724,0.0774,0.1217,0.0,0.0,437,410,133,170,204,153,416,280,327,0,0,34490.26864242554,17137.676084518433
2014-03-24,101112.08286952972,27618.712655067444,0.27314947799765266,0.0498,0.0498,0.1095,0.1057,0.1355,0.0495,0.0497,0.1277,0.0496,0.0,0.0,342,160,231,187,435,89,120,459,134,0,0,17979.34492111206,32500.466280937195
2014-03-25,101444.85046482086,20831.732915878296,0.20535032404727477,0.0715,0.0618,0.1072,0.0924,0.1583,0.0649,0.0617,0.0618,0.1151,0.0,0.0,493,198,225,165,506,116,148,222,310,0,0,15021.090109825134,8234.110370635986
2014-03-26,100896.76661491394,17736.26958847046,0.17578630300575748,0.0597,0.0747,0.0652,0.1078,0.0995,0.1052,0.0921,0.1335,0.0865,0.0,0.0,414,241,136,193,317,188,222,479,235,0,0,17316.296016693115,14220.832689285278
2014-03-27,100921.42135238647,18069.919456481934,0.17904939520607174,0.0958,0.0871,0.1205,0.1122,0.0853,0.0756,0.0758,0.0927,0.0759,0.0,0.0,668,282,252,202,272,134,183,330,207,0,0,11056.492223739624,11390.142091751099
2014-03-28,101274.96047592163,12329.374393463135,0.12174158681991758,0.0947,0.115,0.1196,0.1629,0.0786,0.0598,0.0669,0.1211,0.0596,0.0,0.0,660,372,252,292,251,105,161,432,162,0,0,10798.388179779053,5057.843116760254
2014-03-31,102078.59404754639,13239.78962135315,0.12970191982842447,0.0642,0.1066,0.064,0.112,0.0642,0.1457,0.1156,0.0641,0.134,0.0,0.0,446,345,134,201,205,258,277,228,363,0,0,21335.5438041687,22245.959032058716
2014-04-01,102610.08658027649,13026.942209243774,0.12695576666385727,0.0755,0.1023,0.0621,0.1203,0.0622,0.0848,0.1342,0.0625,0.1691,0.0,0.0,527,329,130,214,200,150,321,225,458,0,0,7428.014511108398,7215.167098999023
2014-04-02,102997.60835552216,10028.95666885376,0.09737077228275333,0.1301,0.1094,0.0478,0.1297,0.0477,0.13,0.13,0.0478,0.1301,0.0,0.0,909,353,100,230,154,230,310,173,351,0,0,11983.164716720581,8985.179176330566
2014-04-03,102987.66100597382,11974.52722454071,0.11627147473371714,0.1163,0.0765,0.0573,0.0858,0.0574,0.1558,0.1004,0.0779,0.1562,0.0,0.0,814,248,120,153,185,274,239,281,421,0,0,10310.12559890747,12255.696154594421
2014-04-04,102116.52058506012,12482.211438179016,0.12223498574632391,0.1627,0.0824,0.0729,0.1625,0.0596,0.0594,0.1282,0.0596,0.0905,0.0,0.0,1140,270,154,292,191,104,306,212,245,0,0,18034.774299621582,18542.458513259888
2014-04-07,100970.55001926422,11986.175378799438,0.11870961757178296,0.0587,0.0588,0.0587,0.1595,0.0588,0.1597,0.1086,0.0588,0.1598,0.0,0.0,413,192,124,289,186,281,260,207,434,0,0,17183.53252029419,16687.49646091461
2014-04-08,101485.09947395325,11209.468709945679,0.11045433041943911,0.0913,0.0978,0.0538,0.0976,0.054,0.1468,0.1471,0.0541,0.1471,0.0,0.0,645,318,115,176,171,257,354,189,400,0,0,11227.680332183838,10450.973663330078
2014-04-09,102418.75435066223,14684.54566001892,0.14337750691383966,0.0859,0.0704,0.08,0.075,0.0704,0.1143,0.0992,0.0702,0.1912,0.0,0.0,607,228,169,135,224,201,238,248,517,0,0,10467.361446380615,13942.438396453857
2014-04-10,100730.48686504364,12396.93902683258,0.12307037732719103,0.1026,0.0948,0.0605,0.06,0.0604,0.1642,0.1209,0.0602,0.1533,0.0,0.0,730,309,130,109,191,288,291,210,416,0,0,11456.866349220276,9169.259716033936
